Teste;Observacao;FO;FO_Pior;Tempo
REAL2;1;2.1496509816643083E-7;0.00923488901150904;56
REAL1;1;5.422376722501554;1689.0746401790766;20
REAL2;2;1.1636174122031662E-6;0.0010146818641487698;34
REAL1;2;0.07448540692985262;869.7096311833315;17
REAL1;3;0.023984067962715017;924.849695118012;25
REAL2;3;1.6685021364537533E-8;4.333365340016826E-4;9
REAL2;4;1.8825611505235429E-6;3.685140412699184E-4;7
REAL1;4;0.39217268457753107;871.2578037205208;8
REAL1;5;6.375866558147209;958.5925310746331;6
REAL2;5;3.7118343243491836E-7;0.013668207215800976;9
REAL1;6;0.42873986841959777;925.4118983387833;25
REAL2;6;2.602507720439462E-7;0.0014429569370122408;20
REAL2;7;2.3245320335263386E-8;2.2557321699423483E-4;12
REAL1;7;4.432428932941434;856.6804613432008;10
REAL2;8;2.1169815909161116E-6;0.005851803341897721;9
REAL1;8;2.2945868156829192;756.9038445961196;20
REAL1;9;0.3011886901647358;717.7309917593586;8
REAL2;9;1.8115981742994336E-4;0.1344886557646987;15
REAL2;10;9.796679023565957E-8;0.0017401241838115311;6
REAL1;10;1.1805962650838637;973.4430858796643;6
REAL2;11;9.416098691872321E-7;0.06440203178306092;8
REAL1;11;3.15893770284481;1001.3842583551085;9
REAL2;12;7.038295279926388E-8;0.0010912982811532856;6
REAL1;12;0.17658602342658014;735.8349396221035;6
REAL1;13;0.46754634425451513;769.4197267522914;5
REAL2;13;8.751568657316966E-6;0.014711537797779783;16
REAL1;14;25.69394315404486;874.3039962442953;56
REAL2;14;3.623540578701068E-8;0.005114348441566108;5
REAL1;15;0.6767588735536947;703.2728346153186;6
REAL2;15;6.078198566683568E-8;2.0523823195617297E-4;5
REAL2;16;9.375875038131198E-6;0.005514272916343543;28
REAL1;16;8.6375679247692;1764.8454914729396;8
REAL2;17;6.911852779012406E-8;1.7872250111850008E-4;16
REAL1;17;1.4686711939453971;881.7495806880568;7
REAL2;18;3.412076011954923E-6;7.551473506737238E-4;40
REAL1;18;1.8626516896759995;731.1858476730024;8
REAL1;19;49.807908575433885;1096.2522331074838;6
REAL2;19;1.3859380487701856E-7;8.672886139038383E-4;7
REAL2;20;1.985404196602758E-8;1.6016835536447616E-4;27
REAL1;20;58.47020794239393;1701.7172274809895;18
REAL2;21;3.605512119975174E-7;3.664178583449029E-4;4
REAL1;21;0.3740439936944995;1153.0505811948467;4
REAL2;22;2.5054646357602905E-7;0.014243292938317609;4
REAL1;22;2.527719357768092;926.836188632773;4
REAL2;23;7.056542017380707E-10;2.1804996777063934E-6;5
REAL1;23;0.3094941845339463;891.9844074772948;4
REAL2;24;1.071066435542889E-8;1.8130629393908748E-4;14
REAL1;24;4.851615290135669E-5;997.0125197768585;4
REAL1;25;1.1404520620278618;1136.9288886482148;5
REAL2;25;3.158899176014529E-6;0.0016125926620134123;4
REAL2;26;1.576029262650991E-8;0.0010567405935262286;9
REAL1;26;4.618289933425217;1051.740119038542;6
REAL2;27;1.7129536900029052E-8;0.0023282959986090646;5
REAL1;27;0.05005445569418043;736.9634460040731;8
REAL1;28;3.6984659288390276;688.5362058838099;8
REAL2;28;4.271896614227444E-9;0.0012100069436655758;13
REAL2;29;1.3632015907205641E-6;0.0016091913466880214;14
REAL1;29;11.920890087569092;1055.760823833069;15
REAL2;30;6.817050405061309E-5;0.25787631541732026;41
REAL1;30;0.7710690170449652;863.3323714156444;7
